,Image_cov
0,0.047953196428716184
1,0.046550464058915775
2,0.0561018073776116
3,0.026867494904242145
4,0.10616766922175884
5,0.15932297276126015
6,0.1449891534116533
7,0.46192028257581924
8,0.46522500846121045
9,0.40732499957084656
10,0.43964881930086347
11,0.3628726910461079
12,0.4305974995548075
13,0.41922454563054173
14,0.44867171184583143
15,0.8236699239774183
16,0.8353040142492815
17,0.8173837808045474
18,0.7866196540268985
19,0.5906515558560689
20,0.4808834258053038
21,0.4621924506293403
22,0.39165098617474237
