,sample,label,Micro_cov
0,1,0.03886,0.04784589260816574
1,2,0.04347,0.04017419040203094
2,3,0.04795,0.045306154526770115
3,4,0.03568,0.014638725792368253
4,5,0.09856,0.08448022877176603
5,6,0.17624,0.12045933339330885
6,7,0.15027,0.1133577639857928
7,8,0.44557,0.4218568796912829
8,9,0.45203,0.47045071721076964
9,10,0.40867,0.40093355708652073
10,11,0.42824,0.3969527320729362
11,12,0.36275,0.3249163175340403
12,13,0.39012,0.36225499559871177
13,14,0.39576,0.3620107378641313
14,15,0.42281,0.39015945728698914
15,16,0.84834,0.7795347694138234
16,17,0.86533,0.8005897754125975
17,18,0.90927,0.708420960821042
18,19,0.92974,0.7608414065685462
19,20,0.5707,0.6028789122899373
20,21,0.45093,0.4818632543087006
21,22,0.44771,0.4471532901128133
22,23,0.39194,0.36937302442060577
