,SEG18I_cov,SEG18I_iou
0,0.05880978697749196,0.6607577800750732
1,0.04650729368149581,0.8998165726661682
2,0.04255445075757576,0.8792752027511597
3,0.03541943705673759,0.8922849893569946
4,0.027369647790055247,0.2769109606742859
5,0.09978379961411246,0.5650236010551453
6,0.1024324696802646,0.6811643838882446
7,0.06368050759668509,0.14285783469676971
8,0.43164923856119075,0.9477288722991943
9,0.39290544032524805,0.9555192589759827
10,0.04356655732044199,0.1017492413520813
11,0.21857330678501946,0.6024489402770996
12,0.0474810767266537,0.12169809639453888
13,0.11292976349708171,0.2853226959705353
14,0.03435258086089494,0.0812528058886528
15,0.25829124450683594,0.3044404089450836
16,0.6142005920410156,0.7097703218460083
17,0.017686843872070312,0.01945389062166214
18,0.03810310363769531,0.04097864776849747
19,0.3124141713558414,0.5431782007217407
20,0.12550551470588237,0.27750927209854126
21,0.13091380292068597,0.2901337742805481
22,0.08293992312834225,0.21121980249881744
